player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Andrew Sendejo,6118,S,MIN,5,4,0,57.1,0,0,18,70.7,70.4,31.1,56.2,65.7,61.3,0,0,0,23,12.9,4,2,2,83.6,4,0,57,1,207,326,13,0,0,13,0,231,313,3,116,23,4,23,7,0,0,57,25,14.3
Von Miller,6154,ED,DEN,16,11,2,100,0,4,10,84.4,90.3,35.4,90,80.2,64.4,10,38,1,24,14.3,5,0,7,118.8,4,16,0,1,26,844,841,0,0,841,0,0,3,506,312,2,29,19,4,64,1,54,23,13.5
Marcell Dareus,6155,DI,JAX,15,4,1,,0,1,15,62.9,78.5,88,59.5,80.7,48.3,1,12,0,,10.8,4,0,0,0,0,1,0,0,2,563,563,122,436,0,5,0,0,295,266,0,21,29,0,14,0,0,0,
Patrick Peterson,6157,CB,ARZ,16,3,0,57.7,1,0,1,83.7,82.5,50.9,72.1,71.9,65.8,0,1,2,55,10.7,6,4,3,82.5,30,1,47,1032,608,1107,10,0,0,10,0,1,1097,3,496,16,16,47,52,2,3,364,126,12.1
Julio Jones,6158,WR,ATL,5,0,0,0,0,0,2,60.8,61.2,66.7,,60,,0,0,0,,,0,0,1,39.6,0,0,0,0,3,5,0,0,0,0,0,5,5,0,2,0,0,0,1,0,0,0,0,
J.J. Watt,6163,ED,HST,17,7,5,,0,7,13,69.6,90.5,30.7,89.7,87.9,50.7,13,48,0,,16.7,9,0,9,0,0,17,1,0,2,1026,1025,0,27,744,254,0,1,676,348,0,51,38,0,78,0,0,0,
Robert Quinn,6166,ED,MIA,16,6,0,,1,1,17,75.3,69.4,49.9,73.2,55.9,29.1,9,23,0,,21.6,8,0,4,0,0,7,3,0,9,635,631,0,2,616,13,0,4,367,259,1,23,23,0,39,0,0,0,
Ryan Kerrigan,6168,ED,WAS,16,10,0,57.1,0,3,32,63.5,75.9,83.7,70.2,71.7,85,7,41,0,24,3.3,1,0,1,65.8,4,14,7,1,41,820,799,0,2,797,0,0,21,470,309,12,28,19,7,62,0,27,26,6.8
Corey Liuget,6170,DI,LAC,6,0,0,,0,0,27,59.5,69.9,26.2,61.9,79.7,74.1,2,6,0,,0,0,0,2,0,0,2,0,0,3,206,206,20,145,1,40,0,0,140,63,0,9,10,0,10,0,0,0,
Prince Amukamara,6171,CB,CHI,16,7,0,63.1,2,2,6,77.1,81,89.9,,90.5,78.4,0,0,3,55,4.2,3,7,9,81.9,53,0,29,931,680,978,6,0,0,6,0,4,972,0,298,8,13,62,84,0,3,609,196,11.5
Adrian Clayborn,6172,ED,NE,17,0,0,,0,1,19,66.7,67.7,74.6,62.5,70.4,30.7,12,32,0,,30,3,0,1,0,0,4,0,1,1,410,407,0,15,337,55,0,3,363,46,2,8,7,0,48,0,0,0,
Cameron Jordan,6176,ED,NO,18,8,4,50,1,1,20,64.6,89.9,81.3,82.1,86.6,75.4,9,50,0,15,6,3,0,2,65.6,2,13,5,0,38,1001,994,0,27,913,54,0,7,651,312,1,41,39,4,72,0,21,16,10.5
Jimmy Smith,6179,CB,BLT,13,5,0,67.7,1,0,3,62.6,61.2,29.9,39,62.6,65.3,0,1,2,64,13.6,8,5,5,91.7,42,0,46,578,430,675,7,0,0,7,0,2,668,3,242,42,11,46,62,1,2,533,181,12.7
Muhammad Wilkerson,6182,DI,GB,3,1,1,,0,0,12,61.6,76.5,34,66.2,76.4,71.4,0,4,0,,0,0,0,1,0,0,0,0,0,0,115,115,10,56,27,22,0,0,74,41,0,2,3,0,4,0,0,0,
Cameron Heyward,6183,DI,PIT,16,10,3,,1,1,25,67.5,84.4,68.5,76.6,77.5,70,9,39,0,,4.7,2,0,2,0,0,11,20,0,0,842,822,54,478,29,261,0,20,549,293,0,29,31,0,59,0,0,0,
Jabaal Sheard,6189,ED,IND,18,8,3,100,1,0,14,63.1,70,59.3,63.3,73.4,53.3,9,48,0,13,15.4,8,0,6,97.9,4,7,0,0,26,941,939,0,10,859,70,0,2,595,320,1,32,36,4,64,0,30,32,7.5
